                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.71681,                 1.0682,                0.95215,                0.98864,                      1,                  0.995,                0.78332,                0.74087,                0.78028,                 0.8124,               0.000911,               0.000911,               0.000911
                     57,                0.78567,                 1.1342,                0.92945,                0.98807,                      1,                  0.995,                0.83304,                0.69916,                0.68018,                0.82916,              0.0008912,              0.0008912,              0.0008912
                     58,                0.90091,                0.99171,                0.86127,                0.98807,                      1,                  0.995,                0.83304,                0.69916,                0.68018,                0.82916,              0.0008714,              0.0008714,              0.0008714
                     59,                0.87463,                 1.0387,                0.93258,                0.98715,                      1,                  0.995,                0.76469,                  0.742,                0.83904,                 0.8878,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.7925,                0.89266,                0.89689,                0.98715,                      1,                  0.995,                0.76469,                  0.742,                0.83904,                 0.8878,              0.0008318,              0.0008318,              0.0008318
                     61,                0.84798,                0.94708,                0.92084,                 0.9876,                      1,                  0.995,                0.78332,                0.70316,                0.83261,                0.86923,               0.000812,               0.000812,               0.000812
                     62,                0.71536,                0.88872,                 0.8599,                 0.9876,                      1,                  0.995,                0.78332,                0.70316,                0.83261,                0.86923,              0.0007922,              0.0007922,              0.0007922
                     63,                0.76585,                0.89306,                0.86063,                0.98888,                      1,                  0.995,                0.85191,                0.60209,                0.70811,                 0.8282,              0.0007724,              0.0007724,              0.0007724
                     64,                0.75135,                0.96186,                0.87271,                0.98888,                      1,                  0.995,                0.85191,                0.60209,                0.70811,                 0.8282,              0.0007526,              0.0007526,              0.0007526
                     65,                0.89693,                 0.8492,                0.87733,                0.98879,                      1,                  0.995,                0.85191,                0.59547,                0.65338,                0.80836,              0.0007328,              0.0007328,              0.0007328
                     66,                0.75614,                0.83986,                0.86715,                0.98879,                      1,                  0.995,                0.85191,                0.59547,                0.65338,                0.80836,               0.000713,               0.000713,               0.000713
                     67,                0.95073,                0.94575,                0.88983,                0.98875,                      1,                  0.995,                0.85191,                0.68057,                0.69898,                0.81041,              0.0006932,              0.0006932,              0.0006932
                     68,                0.55248,                 1.6603,                0.66603,                0.98875,                      1,                  0.995,                0.85191,                0.68057,                0.69898,                0.81041,              0.0006734,              0.0006734,              0.0006734
                     69,                0.78019,                0.84003,                0.89351,                0.98873,                      1,                  0.995,                0.75856,                0.79831,                0.69889,                0.83571,              0.0006536,              0.0006536,              0.0006536
                     70,                0.84499,                0.84153,                 0.8568,                0.98873,                      1,                  0.995,                0.75856,                0.79831,                0.69889,                0.83571,              0.0006338,              0.0006338,              0.0006338
                     71,                0.76207,                0.87028,                0.84408,                0.98883,                      1,                  0.995,                 0.7772,                0.76937,                0.65573,                0.84775,               0.000614,               0.000614,               0.000614
